Season	DayNum	WTeamID	WScore	LTeamID	LScore	WLoc	NumOT	WFGM	WFGA	WFGM3	WFGA3	WFTM	WFTA	WOR	WDR	WAst	WTO	WStl	WBlk	WPF	LFGM	LFGA	LFGM3	LFGA3	LFTM	LFTA	LOR	LDR	LAst	LTO	LStl	LBlk	LPF
2025	0	3159	74	3262	62	H	0	24	57	9	23	17	20	8	20	17	11	8	2	20	23	51	3	8	13	17	6	25	14	18	6	1	20
2025	0	3160	56	3461	50	A	0	21	62	1	10	13	24	14	24	10	11	6	2	19	19	49	3	15	9	15	5	24	11	15	6	6	18
2025	0	3161	52	3362	47	H	0	17	58	8	27	10	14	4	25	13	9	5	3	13	16	59	5	24	10	15	14	34	10	14	3	4	24
2025	0	3162	87	3392	47	H	0	32	72	10	27	13	20	18	24	18	13	16	2	26	16	47	0	8	15	23	7	16	4	22	6	5	16
2025	0	3165	60	3119	54	A	0	21	46	4	9	14	17	5	24	8	13	4	1	20	17	48	5	17	15	21	7	20	11	12	6	2	18
2025	0	3179	84	3295	78	A	0	25	55	4	19	30	39	11	25	15	13	5	8	20	27	67	6	13	18	23	11	20	11	10	10	2	31
2025	0	3181	89	3347	36	H	0	30	70	4	20	25	35	18	27	12	11	19	6	22	10	43	3	17	13	18	3	19	5	32	3	2	24
2025	0	3182	76	3343	66	H	0	27	58	12	31	10	17	5	23	17	10	8	3	17	22	65	10	33	12	13	16	27	18	18	3	1	19
2025	0	3189	66	3219	65	H	0	25	55	2	7	14	25	5	17	10	10	10	3	19	21	47	10	24	13	17	7	23	11	24	6	3	22
2025	0	3193	81	3116	67	A	0	33	68	13	30	2	2	8	25	21	10	8	4	17	23	60	9	27	12	14	6	20	10	14	2	4	3
2025	0	3196	82	3194	54	H	0	28	66	9	24	17	24	13	27	19	8	8	11	15	20	63	6	20	8	16	13	23	6	15	5	2	20
2025	0	3199	119	3316	49	H	0	41	88	15	38	22	31	26	30	24	9	17	10	12	20	59	4	21	5	11	6	21	10	25	5	0	26
2025	0	3202	60	3354	54	A	0	24	57	6	19	6	11	10	17	16	19	10	0	17	22	44	2	8	8	14	5	19	6	22	6	1	15
2025	0	3203	78	3174	66	H	0	27	54	4	14	20	28	8	33	14	19	2	2	20	22	64	9	21	13	19	7	19	7	13	6	4	23
2025	0	3204	82	3325	70	A	0	34	80	6	17	8	14	19	23	14	10	11	5	20	24	56	12	30	10	18	8	21	13	20	6	4	15
2025	0	3205	67	3480	63	H	0	27	63	6	24	7	11	11	21	15	18	6	3	15	25	62	4	24	9	17	10	23	12	17	10	2	12
2025	0	3208	96	3300	52	H	0	32	78	7	20	25	30	22	36	18	14	13	2	17	21	58	4	15	6	13	2	22	11	20	5	2	25
2025	0	3210	85	3457	39	H	0	35	65	9	26	6	7	11	26	25	14	12	4	15	18	53	0	10	3	5	5	12	5	18	5	2	13
2025	0	3213	93	3167	52	H	0	30	63	14	26	19	27	4	28	21	16	14	0	16	21	54	0	17	10	18	7	22	9	23	9	4	21
2025	0	3217	71	3269	58	H	0	26	73	8	26	11	14	12	20	15	16	19	8	13	23	52	4	10	8	9	7	31	13	33	9	4	17
2025	0	3224	78	3197	66	A	0	30	57	6	16	12	19	8	22	9	21	12	4	19	23	62	8	14	12	24	15	20	10	20	11	2	21
2025	0	3231	82	3135	60	H	0	30	60	5	20	17	20	8	28	20	17	11	2	12	23	60	11	36	3	9	6	15	10	18	4	1	22
2025	0	3235	96	3152	56	H	0	30	59	10	23	26	34	9	38	25	13	12	4	12	20	68	10	33	6	12	10	18	6	18	6	1	24
2025	0	3241	67	3245	56	A	0	26	71	3	18	12	18	15	25	9	11	9	3	22	17	54	0	19	22	24	6	25	5	15	2	7	14
2025	0	3243	92	3453	45	H	0	34	70	11	29	13	15	17	35	24	9	9	8	12	19	62	4	20	3	7	3	19	8	10	4	1	19
2025	0	3246	98	3367	43	H	0	35	67	8	27	20	25	9	30	26	9	10	12	18	17	58	3	15	6	13	10	16	10	18	1	2	19
2025	0	3250	83	3254	59	H	0	32	56	9	25	10	16	6	21	17	14	14	4	14	25	55	4	13	5	10	7	20	6	22	6	0	18
2025	0	3251	77	3434	58	N	0	29	54	13	20	6	9	10	21	22	18	5	6	21	14	42	7	25	23	32	3	16	10	13	9	2	15
2025	0	3256	53	3311	51	H	0	18	47	5	16	12	20	11	27	10	24	4	5	17	21	58	4	21	5	10	6	18	11	18	14	2	23
2025	0	3261	95	3184	44	H	0	38	65	5	11	14	20	8	38	13	17	9	5	13	18	69	6	31	2	5	10	18	10	21	10	0	21
2025	0	3263	65	3247	51	H	0	23	55	10	29	9	15	6	29	21	18	3	1	18	20	60	2	13	9	14	7	23	14	13	14	1	20
2025	0	3268	74	3420	32	A	0	29	57	2	13	14	19	15	31	8	22	9	2	21	10	43	5	19	7	14	3	10	6	21	7	2	21
2025	0	3272	89	3290	78	H	0	28	69	6	18	27	39	24	27	11	22	10	3	16	29	76	9	28	11	18	16	16	17	21	13	4	31
2025	0	3273	75	3421	52	H	0	30	51	1	3	14	19	5	27	17	17	9	2	12	19	49	3	16	11	17	3	14	6	17	12	1	15
2025	0	3274	78	3391	53	H	0	28	66	5	24	17	23	12	42	14	19	11	4	16	19	68	6	28	9	15	5	24	9	16	10	0	19
2025	0	3275	75	3111	48	H	0	26	64	10	26	13	16	11	29	17	22	11	2	18	17	59	7	29	7	18	13	26	11	24	12	1	17
2025	0	3278	89	3148	48	H	0	34	72	10	26	11	13	17	21	20	9	19	2	10	20	51	7	19	1	4	9	21	11	25	5	0	15
2025	0	3282	80	3429	77	A	0	31	61	4	11	14	15	11	28	12	23	9	2	22	30	64	10	30	7	17	8	14	12	18	16	1	20
2025	0	3292	79	3297	58	A	0	27	64	9	30	16	20	12	27	11	7	9	4	16	20	51	9	29	9	13	4	25	14	16	2	0	17
2025	0	3296	57	3418	55	H	0	17	48	11	27	12	19	6	29	14	24	4	5	22	23	72	3	9	6	16	14	23	6	11	14	1	18
2025	0	3298	74	3351	52	A	0	28	70	8	24	10	15	15	30	18	17	10	3	16	17	53	3	14	15	18	5	25	9	22	8	2	15
2025	0	3304	88	3303	48	H	0	34	59	5	15	15	20	9	27	18	20	14	6	18	19	57	4	18	6	14	8	15	5	21	8	0	23
2025	0	3308	57	3414	49	A	0	20	49	4	13	13	14	10	25	8	19	7	3	20	16	51	5	12	12	18	8	17	11	18	10	4	18
2025	0	3312	80	3384	60	A	0	28	61	10	25	14	18	9	16	13	15	5	4	23	22	47	5	14	11	15	1	19	13	22	7	4	16
2025	0	3313	70	3456	49	H	0	28	68	8	25	6	12	12	29	13	8	8	3	12	20	59	4	20	5	12	8	22	9	13	3	4	10
2025	0	3314	83	3149	53	H	0	35	76	6	28	7	9	17	24	23	10	10	6	17	20	60	5	16	8	15	12	19	10	18	7	2	10
2025	0	3317	84	3108	65	H	0	27	55	6	15	24	36	13	19	12	14	11	0	17	28	57	2	12	7	11	10	17	12	19	9	4	23
2025	0	3319	80	3307	78	A	0	29	72	11	35	11	18	9	22	20	14	5	4	17	29	65	8	19	12	16	11	33	15	18	8	5	20
2025	0	3323	105	3479	61	H	0	45	75	3	17	12	17	13	34	21	17	15	11	13	23	67	5	16	10	14	7	18	7	20	6	1	20
2025	0	3328	76	3380	44	H	0	29	61	3	22	15	23	15	38	17	18	4	4	14	16	62	5	18	7	10	4	17	9	9	12	4	24
2025	0	3329	96	3115	43	H	0	32	57	12	24	20	25	8	21	18	12	8	2	18	14	46	1	10	14	17	7	15	2	22	3	4	25
2025	0	3332	93	3465	63	H	0	33	73	13	31	14	22	9	33	23	5	9	1	15	24	57	8	31	7	12	3	32	18	17	2	1	18
2025	0	3336	90	3137	68	H	0	30	66	11	25	19	26	15	26	20	17	12	8	13	25	61	12	29	6	9	6	17	18	20	7	2	19
2025	0	3337	59	3168	57	H	0	22	47	4	12	11	14	6	30	14	19	4	4	19	23	63	3	12	8	18	12	18	8	12	10	2	23
2025	0	3346	78	3221	74	A	0	27	69	7	20	17	25	12	17	10	10	10	0	20	26	46	6	13	16	25	3	25	15	16	5	0	21
2025	0	3348	68	3476	45	H	0	27	72	4	17	10	16	20	26	12	15	15	10	15	18	54	2	18	7	8	4	22	9	22	5	2	22
2025	0	3350	79	3396	72	A	0	28	49	8	15	15	19	5	26	17	24	8	2	15	27	66	10	29	8	13	10	13	16	16	12	5	21
2025	0	3353	85	3264	79	H	0	31	68	5	23	18	25	18	29	13	14	8	4	20	27	64	11	28	14	19	7	20	20	12	9	3	24
2025	0	3355	65	3349	63	A	0	27	61	5	16	6	10	7	28	14	11	5	6	13	26	64	4	15	7	9	11	26	13	13	4	4	18
2025	0	3357	63	3220	58	A	0	24	59	3	19	12	16	8	21	11	13	11	5	17	23	60	4	16	8	17	12	24	14	18	7	3	20
2025	0	3365	73	3415	60	H	0	27	50	7	16	12	14	7	20	20	18	6	6	15	24	55	5	15	7	9	9	16	20	18	7	2	21
2025	0	3372	86	3411	45	H	0	29	60	18	39	10	10	5	32	18	29	16	5	10	19	73	3	17	4	8	14	21	10	25	17	1	15
2025	0	3374	77	3299	64	H	0	33	70	3	20	8	12	16	24	16	9	6	3	17	22	59	7	21	13	16	11	16	11	9	3	3	14
2025	0	3376	68	3276	62	N	0	25	75	5	26	13	21	16	25	12	10	7	8	14	22	71	8	26	10	15	16	32	13	15	4	4	21
2025	0	3378	87	3126	44	H	0	34	64	9	23	10	17	17	27	22	17	8	4	19	15	53	1	5	13	21	10	15	6	18	11	0	18
2025	0	3385	80	3389	39	H	0	33	61	9	21	5	7	8	18	18	11	12	0	14	13	35	5	19	8	13	1	19	7	24	7	3	13
2025	0	3387	85	3377	83	A	1	30	75	2	18	23	26	12	34	13	15	9	6	24	28	72	8	26	19	24	9	30	13	15	4	1	23
2025	0	3390	107	3478	43	H	0	37	67	18	34	15	20	8	35	25	6	9	4	15	15	56	8	24	5	9	6	21	7	16	2	1	16
2025	0	3394	62	3401	56	A	0	27	66	4	13	4	10	8	29	14	14	13	4	21	18	66	3	25	17	23	17	27	12	20	6	8	15
2025	0	3402	75	3185	71	A	0	27	68	4	17	17	24	17	19	10	11	13	2	20	25	54	7	22	14	20	9	23	17	19	5	4	21
2025	0	3403	78	3230	48	H	0	25	57	8	29	20	28	15	22	13	20	14	5	31	10	38	1	3	27	36	8	12	3	25	10	1	24
2025	0	3405	71	3267	68	H	0	25	60	1	14	20	31	16	24	10	12	8	6	19	24	58	8	23	12	16	11	18	10	17	7	0	26
2025	0	3417	66	3257	59	N	0	26	63	8	23	6	8	13	29	20	22	4	7	11	24	75	6	29	5	8	16	20	15	13	12	3	15
2025	0	3424	73	3258	57	H	0	30	60	3	14	10	14	9	24	12	8	4	3	18	20	49	8	18	9	19	8	19	16	12	2	3	19
2025	0	3425	68	3279	66	N	0	22	55	1	11	23	29	12	31	12	25	9	10	15	22	76	7	24	15	21	16	19	15	15	15	3	26
2025	0	3428	105	3381	52	H	0	40	64	13	28	12	16	8	22	26	10	8	3	17	20	50	5	20	7	9	4	15	10	19	4	1	16
2025	0	3431	52	3470	49	H	0	18	41	5	11	11	16	3	18	10	20	5	1	15	18	47	5	18	8	13	9	20	12	22	8	2	17
2025	0	3435	102	3252	50	H	0	43	81	5	17	11	14	20	32	17	12	15	1	17	17	61	6	35	10	17	14	15	6	20	6	2	15
2025	0	3436	62	3281	46	H	0	26	51	6	18	4	5	9	14	16	16	10	5	20	12	30	2	5	20	25	6	13	4	24	8	2	15
2025	0	3438	104	3110	68	H	0	42	80	10	28	10	14	16	32	26	14	9	10	23	24	69	6	23	14	20	5	23	15	17	3	1	17
2025	0	3439	99	3423	57	H	0	42	68	8	18	7	9	10	29	23	16	10	4	14	21	56	4	18	11	14	3	16	12	19	6	2	17
2025	0	3443	71	3232	59	A	0	30	62	8	20	3	4	7	20	19	22	20	4	20	22	53	4	13	11	15	8	20	9	26	11	2	10
2025	0	3444	61	3117	52	H	0	23	44	3	11	12	17	3	28	16	17	6	2	13	20	63	9	33	3	6	11	15	12	13	8	1	20
2025	0	3448	102	3474	40	H	0	39	64	9	20	15	19	10	29	18	16	18	2	13	15	59	4	19	6	8	10	12	7	26	5	2	18
2025	0	3449	95	3370	53	H	0	37	70	10	27	11	13	12	30	18	19	10	3	12	18	57	4	23	13	16	5	15	5	16	9	2	15
2025	0	3450	83	3186	82	H	1	27	71	8	28	21	28	7	25	11	8	11	8	20	32	71	10	16	8	19	10	35	16	19	3	1	21
2025	0	3463	64	3284	61	H	0	27	66	5	14	5	15	11	20	9	14	6	3	17	23	59	0	11	15	23	14	25	3	19	6	7	15
2025	0	3466	66	3404	63	A	0	23	49	8	18	12	18	9	26	14	28	6	3	18	23	56	6	20	11	18	9	16	10	16	13	2	20
2025	0	3472	84	3454	81	H	1	30	68	6	20	18	26	8	23	13	15	10	7	26	28	67	4	18	21	27	13	32	17	20	5	2	21
2025	1	3153	66	3227	54	A	0	23	50	1	6	19	28	7	30	10	11	8	1	22	17	60	5	20	15	20	13	19	10	11	4	3	20
2025	1	3172	57	3195	56	H	0	22	48	4	13	9	16	6	28	9	14	5	9	23	20	57	2	13	14	21	6	20	7	11	5	0	19
2025	1	3173	75	3369	70	H	0	27	63	4	22	17	27	9	31	14	18	9	2	13	29	67	5	16	7	8	3	26	15	17	9	2	24
2025	1	3211	82	3285	69	H	0	30	61	11	21	11	16	12	21	19	15	7	0	18	26	52	5	17	12	14	3	15	19	13	10	2	18
2025	1	3237	101	3191	76	H	0	39	68	13	28	10	13	4	20	20	11	16	3	21	25	61	7	14	19	28	12	23	11	23	4	2	15
2025	1	3277	107	3324	42	H	0	35	70	11	24	26	37	14	28	29	11	22	6	14	16	52	0	17	10	18	6	19	7	31	7	5	24
2025	1	3301	80	3190	55	H	0	32	67	5	20	11	15	20	26	8	14	8	4	7	22	64	9	33	2	2	11	15	7	17	3	1	20
2025	1	3326	104	3156	69	H	0	39	72	10	21	16	24	8	28	19	10	16	10	17	23	62	9	25	14	20	10	23	6	24	2	7	18
2025	1	3338	78	3145	36	H	0	28	64	2	13	20	30	16	23	11	19	14	5	23	13	39	1	13	9	14	1	22	8	35	9	4	27
2025	1	3363	55	3462	36	A	0	19	49	6	19	11	18	7	33	12	25	11	4	17	13	52	2	20	8	10	5	22	8	21	11	4	24
2025	1	3393	108	3310	84	H	0	38	63	7	15	25	35	15	27	27	29	16	7	20	33	75	6	19	12	17	12	13	16	27	19	0	30
2025	1	3395	78	3223	41	H	0	31	67	3	21	13	20	4	21	24	5	18	9	13	15	50	5	17	6	9	7	31	6	28	4	1	18
2025	1	3397	101	3359	53	H	0	37	77	10	34	17	22	19	20	20	20	27	6	25	20	56	3	20	10	21	12	19	10	34	12	2	21
2025	1	3410	70	3222	68	A	0	25	51	12	27	8	12	4	17	21	12	5	0	16	27	51	8	15	6	10	8	20	18	15	6	2	13
2025	1	3416	76	3233	44	H	0	29	67	2	10	16	26	22	26	7	17	13	3	13	17	54	5	28	5	10	11	14	10	25	5	5	28
2025	1	3452	85	3406	41	H	0	26	60	12	33	21	29	14	22	16	16	17	2	12	14	43	5	15	8	12	5	18	12	26	7	1	22
2025	1	3458	95	3460	68	H	0	36	79	10	27	13	21	15	31	14	7	11	4	21	22	59	6	24	18	29	6	29	9	12	2	2	17
2025	2	3119	66	3373	56	A	0	21	51	5	10	19	23	4	26	11	14	3	3	16	22	60	3	15	9	15	11	23	12	16	9	6	24
2025	2	3139	87	3152	45	H	0	30	64	6	25	21	28	18	19	17	14	11	9	10	18	52	4	10	5	7	7	15	9	29	6	1	27
2025	2	3140	67	3225	62	H	0	25	66	6	20	11	14	8	27	16	15	9	7	23	19	55	6	20	18	24	6	29	13	18	8	4	14
2025	2	3177	74	3479	53	H	0	27	68	4	21	16	23	19	25	12	15	11	3	22	14	40	8	15	17	20	0	21	10	23	7	4	18
2025	2	3187	81	3149	56	H	0	28	71	4	18	21	23	19	24	14	15	14	1	17	20	57	7	17	9	15	13	19	14	24	10	1	21
2025	2	3229	81	3321	77	A	0	28	58	5	18	20	29	8	25	19	14	6	3	20	27	59	6	17	17	22	4	23	14	14	6	3	29
2025	2	3234	91	3296	73	H	0	37	71	9	29	8	11	13	19	22	14	13	7	14	25	51	12	26	11	14	5	19	15	25	6	1	13
2025	2	3242	56	3473	43	H	0	22	51	6	19	6	9	7	27	10	18	3	4	18	16	59	1	24	10	15	11	22	3	10	6	1	11
2025	2	3252	69	3290	56	H	0	23	66	14	39	9	12	14	21	15	14	7	3	19	22	56	2	14	10	17	12	25	3	19	11	4	23
2025	2	3332	76	3305	58	H	0	30	59	6	20	10	17	7	21	12	13	12	4	18	23	52	3	11	9	13	6	19	12	18	6	1	11
2025	2	3345	87	3236	77	H	0	34	70	5	19	14	21	12	25	18	15	7	6	23	26	59	6	19	19	27	6	21	11	15	7	4	18
2025	2	3409	63	3115	60	H	0	18	63	8	30	19	28	16	20	7	15	9	1	14	22	50	7	20	9	10	7	25	10	21	7	1	26
2025	2	3430	72	3282	48	H	0	24	55	6	21	18	31	10	20	21	21	23	2	26	19	55	0	9	10	19	16	24	10	35	10	1	24
2025	2	3433	75	3271	60	H	0	23	50	9	17	20	24	4	17	16	16	11	5	15	22	55	4	11	12	16	11	21	13	22	9	3	22
2025	3	3104	84	3105	59	A	0	35	62	8	15	6	13	11	22	13	15	13	4	21	19	56	5	14	16	26	13	18	13	19	5	3	18
2025	3	3112	62	3470	39	H	0	22	55	4	16	14	19	7	28	12	14	11	4	15	17	53	4	21	1	2	5	21	7	21	5	4	15
2025	3	3124	85	3230	33	H	0	31	65	8	30	15	16	12	30	22	16	14	4	11	13	48	3	14	4	8	1	17	7	24	4	1	22
2025	3	3127	66	3103	50	H	0	24	58	7	21	11	17	16	26	6	14	7	4	16	18	54	4	12	10	15	10	17	9	15	4	1	17
2025	3	3130	102	3357	58	H	0	37	74	9	14	19	27	15	25	25	8	20	2	22	20	53	5	17	13	26	10	19	11	26	4	1	21
2025	3	3143	88	3226	36	H	0	31	59	10	28	16	20	12	30	21	16	12	3	13	13	58	4	11	6	13	13	14	5	22	8	1	18
2025	3	3155	91	3300	33	H	0	32	57	9	17	18	20	9	33	19	14	8	6	19	12	48	2	11	7	17	4	12	4	21	2	4	17
2025	3	3160	81	3294	66	H	0	32	66	7	20	10	15	9	24	26	15	12	3	18	21	47	7	17	17	27	3	23	13	22	8	3	16
2025	3	3163	86	3131	32	H	0	36	66	9	22	5	8	9	25	28	12	25	4	13	12	45	5	17	3	6	6	19	5	31	4	1	12
2025	3	3170	71	3471	60	H	0	19	48	8	25	25	35	8	20	13	20	9	0	26	19	48	2	10	20	28	6	22	6	23	10	1	33
2025	3	3179	95	3387	70	H	0	33	67	13	35	16	20	11	32	25	18	4	4	14	22	69	6	25	20	21	9	18	9	10	11	3	19
2025	3	3180	64	3265	53	H	0	26	52	8	15	4	7	7	19	15	15	9	4	13	20	48	9	27	4	7	5	20	14	19	6	3	15
2025	3	3181	83	3251	67	A	0	29	55	8	16	17	27	12	18	19	17	16	1	19	24	54	6	20	13	16	8	16	11	22	8	3	17
2025	3	3196	102	3197	67	H	0	34	57	9	18	25	32	10	25	18	15	11	4	19	25	61	5	13	12	17	8	17	10	20	5	1	26
2025	3	3217	72	3231	68	A	1	27	66	8	24	10	16	8	19	11	18	14	3	32	17	49	3	18	31	38	12	25	9	26	7	2	19
2025	3	3228	83	3199	74	H	0	29	62	2	13	23	31	5	29	13	11	6	3	14	31	78	5	21	7	12	10	25	10	13	8	2	25
2025	3	3235	64	3232	42	H	0	19	64	8	36	18	23	10	31	15	16	13	10	16	15	59	3	19	9	15	8	32	5	21	9	4	20
2025	3	3241	85	3259	54	H	0	29	64	6	19	21	31	13	22	16	12	12	3	13	18	51	5	15	13	16	9	21	13	24	4	2	27
2025	3	3243	82	3125	56	H	0	31	60	9	22	11	14	10	27	21	14	11	4	12	21	67	4	22	10	11	10	19	5	16	9	5	14
2025	3	3246	70	3297	41	H	0	30	69	5	25	5	7	16	32	22	8	8	16	9	16	61	3	19	6	10	6	22	7	10	3	1	6
2025	3	3256	78	3375	70	A	0	26	59	5	16	21	33	12	23	6	13	9	5	15	26	61	8	18	10	13	10	22	10	17	5	3	24
2025	3	3264	78	3148	64	A	0	30	60	4	15	14	21	7	26	13	12	9	3	23	21	54	3	9	19	26	9	20	8	16	7	4	23
2025	3	3268	70	3164	47	H	0	24	59	10	25	12	15	12	22	16	13	10	2	11	18	55	5	22	6	9	6	23	8	16	9	1	16
2025	3	3280	100	3272	56	H	0	37	73	8	24	18	25	22	37	15	13	7	9	19	19	70	8	29	10	17	14	13	8	14	4	4	23
2025	3	3281	66	3380	51	H	0	23	50	8	24	12	21	10	27	15	19	10	4	23	19	54	4	15	9	22	4	19	10	17	10	2	21
2025	3	3286	73	3407	63	H	0	25	66	11	36	12	21	12	24	21	15	9	5	18	27	65	1	12	8	12	11	32	9	22	8	3	20
2025	3	3293	104	3188	60	H	0	38	77	14	34	14	19	15	25	28	12	14	4	16	23	58	4	16	10	17	9	25	6	26	6	4	14
2025	3	3306	48	3269	45	A	0	18	52	5	22	7	9	7	29	10	18	5	1	18	15	61	5	24	10	12	10	23	9	10	6	3	20
2025	3	3307	66	3287	56	H	0	23	65	11	30	9	10	11	31	21	21	8	10	13	22	61	7	22	5	7	4	24	12	19	13	5	20
2025	3	3308	85	3469	63	H	0	32	64	7	22	14	17	7	26	16	17	14	2	19	20	53	6	20	17	28	6	20	8	23	12	2	18
2025	3	3311	65	3408	63	A	0	19	54	12	25	15	21	9	16	17	13	9	2	18	21	51	5	16	16	23	14	26	14	26	8	4	23
2025	3	3313	71	3255	62	H	0	25	58	8	20	13	20	12	22	19	20	10	7	13	25	65	9	20	3	4	11	19	15	20	14	5	18
2025	3	3314	77	3423	50	H	0	27	74	10	30	13	27	16	31	17	10	14	6	21	17	57	5	13	11	17	5	32	10	23	5	2	21
2025	3	3317	78	3411	54	H	0	29	57	7	12	13	24	9	28	14	17	8	5	15	22	72	4	25	6	14	15	17	9	20	10	5	23
2025	3	3329	89	3331	68	H	0	36	63	9	25	8	13	7	26	15	19	8	1	16	28	61	5	18	7	17	5	22	10	16	7	1	17
2025	3	3336	89	3145	57	H	0	38	71	4	15	9	12	16	29	24	17	13	7	20	22	59	5	22	8	12	7	19	13	22	7	2	13
2025	3	3339	76	3218	65	H	0	25	50	10	21	16	20	8	14	16	22	10	4	21	18	41	4	12	25	25	4	13	8	24	12	4	21
2025	3	3347	65	3214	55	H	0	22	44	5	17	16	24	7	25	12	26	6	3	17	22	63	0	10	11	14	15	17	7	21	10	3	20
2025	3	3349	61	3299	60	H	0	23	61	4	21	11	17	8	27	17	10	9	6	19	20	55	3	14	17	23	9	28	12	15	4	4	17
2025	3	3353	72	3165	61	H	0	30	69	4	17	8	13	14	29	18	12	3	10	23	23	59	1	9	14	19	5	22	15	12	4	0	15
2025	3	3371	84	3447	40	H	0	35	64	7	23	7	8	13	24	21	15	14	2	11	16	48	7	23	1	4	5	14	12	26	3	2	14
2025	3	3378	68	3291	51	H	0	21	63	10	29	16	22	20	25	15	13	10	8	21	15	54	7	22	14	19	11	17	8	14	5	3	17
2025	3	3390	94	3450	65	H	0	34	65	14	20	12	16	9	20	16	8	10	2	9	25	57	7	14	8	9	7	17	10	17	2	7	20
2025	3	3392	53	3478	43	H	0	15	58	4	26	19	25	17	26	5	13	5	4	12	17	61	4	20	5	8	13	21	7	14	4	5	22
2025	3	3397	90	3404	50	H	0	33	84	9	39	15	23	26	21	18	15	18	3	21	19	45	5	16	7	15	5	20	10	27	9	6	19
2025	3	3399	48	3151	46	A	0	17	49	2	10	12	21	11	25	6	27	12	5	17	18	50	4	19	6	10	5	16	7	19	17	6	21
2025	3	3401	55	3427	51	H	0	18	51	5	16	14	22	14	21	11	16	5	9	22	19	56	3	16	10	19	14	20	7	14	8	3	24
2025	3	3403	63	3223	40	H	0	24	61	5	22	10	13	10	19	10	12	10	7	13	16	48	3	14	5	7	8	23	3	26	7	4	18
2025	3	3414	65	3337	56	H	0	20	52	6	18	19	23	11	19	14	15	7	1	21	17	48	4	24	18	23	6	19	15	16	5	2	19
2025	3	3416	57	3266	50	H	0	21	47	5	12	10	15	7	26	15	22	8	2	15	18	55	3	18	11	13	7	17	9	19	11	4	18
2025	3	3424	85	3319	71	H	0	35	89	5	21	10	14	20	27	13	6	13	3	12	28	64	7	22	8	12	5	29	17	15	3	2	19
2025	3	3428	86	3451	46	H	0	33	65	13	31	7	8	11	23	23	17	15	1	13	19	50	3	18	5	8	7	17	7	26	6	3	13
2025	3	3441	73	3144	72	H	0	25	60	10	22	13	19	10	24	11	12	8	0	23	26	59	3	17	17	28	11	23	9	12	4	6	15
2025	3	3448	60	3150	41	A	0	19	51	10	23	12	24	8	21	12	13	12	2	17	16	51	4	18	5	10	10	27	10	21	4	4	20
2025	3	3449	81	3334	50	H	0	31	71	9	21	10	13	13	26	14	16	12	5	13	20	56	3	11	7	14	7	21	7	22	8	5	15
2025	4	3101	76	3198	73	A	0	21	51	9	24	25	30	5	21	16	26	4	2	33	23	56	3	19	24	36	10	22	10	18	13	2	32
2025	4	3102	73	3377	66	H	0	28	74	8	30	9	14	16	23	13	10	14	3	17	26	52	9	27	5	11	4	29	12	21	8	3	16
