Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
"2025	0	1245	70	1418	66	A	0	21	50	6	24	22	28	11	21	9	15	3	3	19	22	49	9	20	13	21	4	20	14	10	7	3	22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1246	103	1460	62	H	0	39	65	11	24	14	19	7	33	30	7	11	4	14	24	68	5	27	9	12	10	20	8	12	4	1	12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1247	65	1110	52	H	0	23	55	5	16	14	18	9	27	7	5	5	3	14	20	55	9	31	3	8	8	20	13	9	3	3	16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1251	83	1434	63	N	0	32	59	10	24	9	13	4	28	15	5	6	5	16	22	63	2	15	17	21	8	22	7	8	1	2	13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1252	77	1182	72	A	0	25	48	9	21	18	26	2	28	16	16	3	2	18	28	62	6	20	10	19	8	24	10	14	6	4	22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1257	93	1287	45	H	0	32	71	11	36	18	28	14	33	21	5	12	6	21	12	52	3	21	18	27	11	31	4	20	1	3	20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1260	79	1152	72	H	0	26	63	6	25	21	29	8	30	14	8	6	5	19	26	62	8	26	12	20	4	27	12	12	8	6	23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1266	102	1392	62	H	0	40	68	9	31	13	17	10	29	22	7	10	2	16	22	60	7	25	11	15	10	16	12	13	3	1	14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1268	79	1264	49	H	0	31	70	5	23	12	17	16	35	13	9	7	9	17	16	59	5	27	12	15	6	25	8	11	3	2	15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1269	103	1306	74	H	0	42	79	12	35	7	11	11	30	25	8	13	8	19	28	74	11	33	7	17	14	22	17	15	2	2	15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1272	83	1281	75	H	0	26	57	8	20	23	30	11	24	16	16	8	3	24	26	57	7	24	16	25	8	19	16	14	11	2	24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1274	113	1192	72	H	0	46	69	7	17	14	18	9	27	16	7	11	1	21	25	53	7	23	15	24	5	12	10	14	2	1	19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1275	77	1111	63	A	0	27	59	11	25	12	13	4	25	9	14	13	4	18	21	53	9	32	12	21	10	20	11	18	8	5	16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1276	101	1156	53	H	0	39	57	10	18	13	22	6	22	22	16	11	8	16	21	70	2	19	9	11	18	13	5	20	10	4	21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1277	81	1284	57	H	0	30	61	3	18	18	27	12	29	23	13	6	8	15	17	61	8	27	15	16	7	19	9	14	7	2	23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1279	90	1254	60	H	0	28	57	9	22	25	32	9	27	12	14	10	13	18	20	58	5	15	15	24	8	18	6	15	9	5	22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1280	95	1480	60	H	0	36	65	14	30	9	16	7	22	19	8	17	4	17	21	54	4	19	14	20	6	24	11	19	3	4	13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1301	97	1367	66	H	0	38	68	9	27	12	21	14	28	22	11	9	8	24	21	62	3	21	21	27	15	20	8	16	7	0	21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1304	87	1410	67	H	0	28	57	6	19	25	35	11	31	11	13	9	2	15	24	62	13	41	6	9	8	22	11	20	4	0	27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1305	91	1358	75	H	0	30	53	10	22	21	31	10	24	17	12	9	5	20	24	57	10	25	17	21	8	16	15	11	4	3	27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1307	91	1311	84	H	0	31	81	7	36	22	32	16	29	18	8	10	10	16	30	72	15	37	9	16	11	33	18	16	4	4	24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1314	90	1189	76	H	0	32	80	13	32	13	16	15	24	22	6	11	7	13	26	61	13	29	11	14	9	28	11	15	4	5	12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1316	74	1376	71	A	0	29	69	10	29	6	13	13	24	10	9	6	4	20	26	56	5	16	14	25	7	27	15	10	5	8	14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1318	80	1131	72	A	0	30	47	7	16	13	22	3	20	13	12	10	7	17	29	62	9	21	5	11	12	15	16	11	5	2	15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1321	90	1250	46	H	0	36	66	9	20	9	14	10	31	22	7	10	3	18	17	53	2	17	10	18	6	20	8	12	4	1	16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1326	80	1400	72	N	0	27	60	14	28	12	14	8	27	16	14	2	2	19	25	68	7	27	15	20	11	19	15	9	5	2	14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1328	93	1473	60	H	0	34	65	14	34	11	17	11	32	23	11	9	4	16	23	65	4	24	10	14	11	20	5	12	6	3	15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1329	89	1453	76	H	0	29	69	10	22	21	24	16	23	13	13	11	4	17	25	51	14	31	12	16	2	21	14	19	8	2	17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1332	91	1415	76	H	0	33	66	6	19	19	25	13	28	16	8	5	4	16	29	65	12	34	6	12	7	19	13	8	5	2	23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1333	80	1469	57	H	0	32	64	6	24	10	16	9	27	16	9	8	5	19	19	57	5	25	14	23	8	25	10	12	4	0	20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1335	58	1312	57	A	0	16	49	5	19	21	35	8	25	5	11	4	2	16	20	54	7	24	10	13	7	25	8	11	6	4	23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1336	108	1127	66	H	0	35	69	13	31	25	32	14	24	17	5	16	7	17	24	56	7	19	11	15	8	19	14	21	2	1	26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1338	96	1347	56	H	0	36	65	8	23	16	21	10	30	18	8	11	8	18	18	58	5	19	15	20	9	20	7	14	4	3	21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1343	81	1233	80	H	0	31	56	8	26	11	22	8	16	16	9	6	2	15	30	56	6	13	14	22	10	21	14	16	7	0	21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1344	59	1148	55	H	0	20	53	8	32	11	15	13	26	12	15	3	3	19	17	54	0	8	21	26	7	21	3	6	12	3	16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1345	90	1394	73	H	0	31	55	11	26	17	27	8	29	24	16	4	6	7	30	67	6	19	7	7	6	19	14	9	10	0	25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1348	96	1193	58	H	0	28	52	6	11	34	41	6	38	14	11	1	4	24	19	70	4	29	16	27	15	19	12	10	4	7	32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1355	80	1270	73	N	0	28	61	12	35	12	16	11	30	15	15	5	4	17	23	59	7	26	20	27	8	20	10	11	13	2	17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1365	85	1387	78	N	0	28	66	12	35	17	20	13	19	11	12	8	3	14	29	61	12	34	8	10	8	25	13	17	4	3	19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1371	57	1389	53	H	0	14	44	5	16	24	37	10	17	10	14	10	4	23	15	42	7	20	16	25	7	24	7	17	9	3	30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1373	72	1135	71	H	1	24	66	5	20	19	28	15	21	7	12	10	4	15	28	64	7	22	8	13	15	25	8	16	6	9	24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1374	96	1470	62	H	0	34	63	11	26	17	22	12	22	20	13	13	4	18	18	49	6	13	20	24	7	17	8	22	5	3	16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1377	93	1380	79	H	0	32	62	10	24	19	32	9	20	17	11	10	6	22	28	64	5	20	18	24	14	22	9	17	5	5	25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1379	77	1132	68	H	0	30	61	5	22	12	14	2	27	17	12	9	10	8	27	66	10	28	4	8	7	24	11	13	8	3	13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1382	70	1169	56	H	0	20	55	7	32	23	34	12	25	10	16	10	5	14	20	54	6	19	10	16	6	26	14	21	8	1	26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1385	92	1200	60	H	0	36	66	9	26	11	15	7	27	19	11	11	4	19	20	55	8	23	12	20	8	21	9	19	5	1	13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1386	70	1298	63	H	0	20	46	8	22	22	29	3	29	9	17	6	11	16	24	67	6	22	9	11	10	24	10	13	9	3	26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1388	76	1406	69	H	0	25	54	4	16	22	29	12	25	11	9	4	1	19	27	64	4	13	11	19	11	16	13	7	2	3	25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1390	85	1176	62	H	0	32	65	7	23	14	18	13	18	20	10	13	6	18	22	48	3	17	15	23	7	16	6	20	4	2	16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1393	86	1478	82	H	0	31	72	4	22	20	31	18	26	15	11	7	2	11	28	57	9	25	17	23	5	24	12	16	6	1	25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1395	105	1197	59	H	0	41	75	14	30	9	16	15	29	29	5	8	3	21	18	54	8	34	15	21	7	19	8	12	3	0	15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1396	81	1357	70	H	0	27	55	11	23	16	23	6	26	14	16	10	5	12	29	68	5	20	7	11	11	24	11	16	10	3	20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1397	80	1205	64	H	0	28	55	8	23	16	21	7	21	16	10	9	2	15	24	55	6	23	10	15	7	20	8	14	6	2	19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1402	64	1185	44	H	0	20	48	7	15	17	21	8	32	13	12	8	4	16	17	58	5	24	5	15	10	19	7	13	7	0	15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1404	67	1229	65	A	0	26	66	7	25	8	18	10	36	14	14	6	3	25	18	62	8	41	21	28	8	31	13	9	6	2	19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1407	84	1405	74	H	0	35	67	7	23	7	13	11	29	16	11	9	5	18	28	69	3	17	15	17	11	21	15	11	6	3	14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1416	64	1401	61	H	0	17	50	8	26	22	31	5	19	13	10	9	10	17	23	63	7	23	8	14	15	27	13	11	4	3	24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1417	85	1351	50	H	0	34	65	10	29	7	12	13	28	21	9	6	9	13	20	63	5	20	5	13	16	18	13	11	6	2	17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1422	73	1195	64	H	0	22	61	12	31	17	20	11	28	10	5	6	1	11	23	58	9	30	9	11	7	27	11	7	1	0	20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1424	93	1106	79	H	0	33	58	9	20	18	28	12	22	20	9	4	4	16	27	61	9	22	16	20	10	17	15	12	5	0	23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1425	77	1151	51	H	0	32	64	8	25	5	7	8	24	21	9	9	3	17	15	54	6	34	15	19	11	20	13	13	6	2	13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1428	100	1108	59	H	0	32	57	19	38	17	25	10	21	29	10	10	2	18	20	55	3	11	16	22	13	12	9	14	7	1	19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1433	84	1468	65	H	0	29	55	15	29	11	17	11	21	20	16	7	10	17	26	56	4	13	9	13	9	17	8	13	10	1	23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1435	102	1271	63	H	0	36	72	8	34	22	33	14	29	19	1	11	4	15	23	52	7	21	10	19	4	26	7	15	1	0	19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1436	67	1412	62	A	0	22	58	10	27	13	16	6	22	11	5	4	4	14	26	68	0	10	10	15	14	30	3	7	4	8	15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1437	75	1248	63	H	0	31	60	4	13	9	11	11	25	15	16	9	4	14	24	59	7	20	8	12	8	13	18	12	8	3	14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1439	83	1175	60	H	0	26	55	9	28	22	33	11	27	20	14	6	5	21	17	49	3	10	23	30	9	18	8	16	9	1	23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1442	59	1363	55	A	0	22	51	7	24	8	10	6	26	10	12	3	2	24	16	46	3	16	20	29	4	21	6	5	5	0	15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1448	64	1164	49	H	0	22	56	9	37	11	23	9	26	14	12	11	6	18	17	60	4	18	11	15	12	27	9	19	5	0	21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1450	100	1340	92	H	0	30	57	15	32	25	32	9	25	15	20	6	4	25	33	68	12	27	14	21	13	13	16	15	9	4	24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1452	87	1352	59	H	0	33	60	14	34	7	12	6	28	16	11	10	8	14	22	68	6	24	9	12	15	25	8	13	6	1	12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1455	91	1443	84	A	0	27	61	11	27	26	36	8	31	17	14	11	8	21	27	68	6	25	24	34	9	28	12	13	8	3	25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1458	85	1221	61	H	0	29	59	11	31	16	16	7	25	15	11	7	2	14	23	53	9	24	6	7	3	17	8	12	4	2	20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1462	78	1411	69	H	0	19	51	6	23	34	41	4	26	17	9	14	3	15	24	58	10	23	11	13	6	25	16	17	7	4	31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1463	88	1346	62	H	0	30	65	7	20	21	27	18	24	19	15	7	4	16	19	60	7	32	17	18	7	16	10	13	10	7	24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1465	83	1230	78	H	0	31	65	5	17	16	23	12	18	15	5	6	1	12	31	61	11	23	5	9	11	24	6	11	2	4	22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	0	1466	73	1102	57	A	0	27	58	15	29	4	9	5	26	13	5	6	3	19	18	46	9	26	12	17	5	25	13	13	2	4	12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	1	1113	55	1226	48	H	0	20	55	7	24	8	12	6	31	12	14	6	9	15	17	67	4	28	10	13	14	27	6	8	4	4	16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	1	1140	88	1146	50	H	0	33	72	15	44	7	11	17	27	21	10	11	8	13	19	56	7	31	5	13	8	20	14	17	5	2	10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	1	1243	89	1309	65	H	0	34	73	13	34	8	12	18	23	24	9	7	6	12	25	64	9	20	6	7	12	21	13	12	7	3	13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	1	1317	80	1191	63	H	0	26	57	9	24	19	24	13	20	12	8	10	0	11	22	47	8	26	11	17	3	18	11	13	4	4	18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	1	1349	77	1198	70	H	0	24	52	6	24	23	38	8	26	16	15	3	5	18	23	63	6	18	18	24	9	29	12	11	11	4	31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	1	1362	86	1142	78	H	0	28	62	7	28	23	28	8	25	15	15	12	8	18	26	64	12	34	14	15	5	23	17	16	12	2	21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	1	1403	94	1126	61	H	0	36	63	16	30	6	10	10	27	17	11	7	6	12	25	60	6	16	5	10	3	14	13	9	7	3	10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	1	1449	79	1413	73	H	0	28	62	2	14	21	38	11	31	13	14	11	6	20	23	66	6	27	21	26	13	28	6	17	5	6	25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	2	1116	76	1252	60	H	0	34	63	4	19	4	7	6	27	10	12	11	5	11	22	58	9	27	7	9	4	22	8	18	8	1	12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	2	1120	94	1436	43	H	0	36	64	16	35	6	11	7	35	15	9	10	7	15	15	58	5	23	8	11	9	16	6	15	6	3	10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	2	1129	87	1324	43	H	0	33	62	9	20	12	14	11	33	23	7	4	5	9	18	66	3	26	4	9	9	17	2	9	4	5	13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	2	1162	90	1437	80	A	0	29	54	8	24	24	26	6	15	14	8	10	0	19	27	60	11	32	15	17	12	16	16	12	6	2	23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	2	1163	92	1357	56	H	0	32	62	13	31	15	23	12	30	25	12	10	13	13	19	56	6	15	12	18	3	16	8	14	6	2	20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025	2	1166	99	1410	86	H	0	33	55	7	23	26	29	7	31	20	15	2	3	11	33	77	14	35	6	10	15	17	13	10	12	1	20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
